"column1","column2","Column 3","Column 4","Column 5"
"KFC","Kentucky Fried Chicken Corp","","",""
"KGC","Kinross Gold Corp","","",""
"KGE","Kansas Gas And Electric Co","","",""
"KHEAA","Kentucky Higher Educatn Assistance Authority","","",""
"KIC","Kids International Corp","","",""
"KSL","Bonneville International Corp","","",""
"L3","L-3 Communications Holdings Inc","","",""
"LAC","London Agricultural Commodities Inc","","",""
"LBPSB","Lester B Pearson School Board","","",""
"LCAS","Lorain County Automotive Systems Inc","","",""
"LCATCS","Louisiana Community & Technical College System","","",""
"LCRA","Lower Colorado River Authority","","",""
"LESCO","Line Eqp Sales Co Inc","","",""
"LISC","Local Initiatives Support Corp","","",""
"LIUNA","Labsrers International Union Of North America","","",""
"LMAERO","Lockheed Martin Aeronautical Systems Co","","",""
"LMI","Logistics Management Institute","","",""
"LMSI","Lockheed Martin Services Inc","","",""
"LNT","Linens 'n Things Inc","","",""
"LPCD","LPC & D Inc","","",""
"LSOC","Lockheed Martin Space Operations Co","","",""
"LSU","Louisiana State University System","","",""
"LVPG","Lehigh Valley Physicians Group","","",""
"LWCC","Louisiana Workers' Compensation Corp","","",""
"MAIF","Automobile Insurance Fund Maryland","","",""
"MBM","MBM Corp","","",""
"MBS","Manitowoc Beverage Systems Inc","","",""
"MCCI","Multi - Channel Communications Inc","","",""
"MCN","MCN Energy Enterprises","","",""
"MCSI","Motorola Cellular Service Inc","","",""
"MDA","Muscular Dystrophy Association","","",""
"MDEA","Mitsubishi Digital Electronics America Inc","","",""
"MDHC","Mcdonnell Douglas Helicopter Co","","",""
"MEAN","Municipal Energy Agency Of Nebraska","","",""
"MET","MetLife Inc","","",""
"MHRA","Medical and Health Research Association of New York City Inc","","",""
"MISA","Marubeni-Itochu Steel America Inc","","",""
"MLOA","Mortgage Lenders Of America & Co Inc","","",""
"MMC","Marsh & McLennan Co's Inc","","",""
"MMS","MMS A Medical Supply Co","","",""
"MPA","Motorcar Parts of America Inc","","",""
"MPAC","Municipal Property Assessment Corp","","",""
"MRI","Media Recovery","","",""
"MTC","Management & Training Corp","","",""
"3COM","3Com Corp","","",""
"3E","Electrical Engineering And Eqp Co","","",""
"3M","3M Co","","",""
"AAA","American Automobile Association","","",""
"AABR","Association For The Advancement Of The Blind & Retarded Inc","","",""
"AACPS","Anne Arundel Public Schools","","",""
"AADAC","Alberta Alcohol & Drug Abuse Commission","","",""
"AAI","Airline Automtn Inc","","",""
"AAMC","Association Of American Medical Colleges","","",""
"AAON","AAON Inc","","",""
"AARP","American Association of Retired Persons","","",""
"AATI","Advanced Analogic Technologies Inc","","",""
"ABC","ABC Holding Co Inc","","",""
"ABCO","ABCO International Freight Inc","","",""
"ABF","ABF Freight System Inc","","",""
"ABM","ABM Industries Inc","","",""
