"Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"FIRSTNAME INIT LASTNAME SYMBOL LN_ID LASTNAME","FIRSTNAME[0]","","INIT[1]","","","","LASTNAME[2] SYMBOL[3] LN_ID[4] LASTNAME[5]","","Parsed"
"FIRSTNAME FIRSTNAME LASTNAME LN_ID LASTNAME","FIRSTNAME[0]","","FIRSTNAME[1] LASTNAME[2]","","","","LN_ID[3] LASTNAME[4]","","Parsed"
"PREFIX FIRSTNAME LASTNAME TITLE","FIRSTNAME[1]","","","","PREFIX[0]","","LASTNAME[2]","TITLE[3]","Parsed"
"LASTNAME WORD SUFFIX","LASTNAME[0]","","","","","SUFFIX[2]","WORD[1]","","Parsed"
"FIRSTNAME FIRSTNAME FIRSTNAME FIRSTNAME SYMBOL FIRSTNAME","FIRSTNAME[0]","","FIRSTNAME[1] FIRSTNAME[2]","","","","FIRSTNAME[3] SYMBOL[4] FIRSTNAME[5]","","Parsed"
"INIT SYMBOL FIRSTNAME FIRSTNAME INIT","FIRSTNAME[3]","","INIT[4]","","","","INIT[0] SYMBOL[1] FIRSTNAME[2]","","Parsed"
"WORD INIT FIRSTNAME LN_ID LASTNAME","WORD[0]","","INIT[1]","","","","FIRSTNAME[2] LN_ID[3] LASTNAME[4]","","Parsed"
"PREFIX LASTNAME LN_ID WORD","LASTNAME[1]","","","","PREFIX[0]","","LN_ID[2] WORD[3]","","Parsed"
"PREFIX WORD SYMBOL FIRSTNAME WORD","WORD[1] SYMBOL[2] FIRSTNAME[3]","","","","PREFIX[0]","","WORD[4]","","Parsed"
"PREFIX FIRSTNAME INIT SUFFIX SUFFIX","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","SUFFIX[4]","SUFFIX[3]","","Parsed"
"PREFIX WORD INIT LASTNAME SYMBOL FIRSTNAME","WORD[1]","","INIT[2]","","PREFIX[0]","","LASTNAME[3] SYMBOL[4] FIRSTNAME[5]","","Parsed"
"FIRSTNAME INIT WORDSYMBOL","FIRSTNAME[0]","","INIT[1]","","","","WORDSYMBOL[2]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME FIRSTNAME FIRSTNAME","FIRSTNAME[1]","","FIRSTNAME[2] FIRSTNAME[3]","","PREFIX[0]","","FIRSTNAME[4]","","Parsed"
"FIRSTNAME DESIGNATOR","FIRSTNAME[0]","","","","","","DESIGNATOR[1]","","Parsed"
"PREFIX FIRSTNAME PREFIX WORD","FIRSTNAME[1]","","PREFIX[2]","","PREFIX[0]","","WORD[3]","","Parsed"
"LASTNAME SYMBOL WORD FIRSTNAME WORD","WORD[4]","","FIRSTNAME[3]","","","","LASTNAME[0] SYMBOL[1] WORD[2]","","Parsed"
"LASTNAME INIT FIRSTNAME","LASTNAME[0]","","INIT[1]","","","","FIRSTNAME[2]","","Parsed"
"PREFIX INIT LASTNAME SYMBOL FIRSTNAME","INIT[1]","","","","PREFIX[0]","","LASTNAME[2] SYMBOL[3] FIRSTNAME[4]","","Parsed"
"PREFIX FIRSTNAME LASTNAME FIRSTNAME SUFFIX","FIRSTNAME[1]","","","","PREFIX[0]","SUFFIX[4]","LASTNAME[2] FIRSTNAME[3]","","Parsed"
"PREFIX FIRSTNAME INIT FIRSTNAME LASTNAME SUFFIX","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","SUFFIX[5]","FIRSTNAME[3] LASTNAME[4]","","Parsed"
"DESIGNATOR PREFIX FIRSTNAME FIRSTNAME WORDSYMBOL SUFFIX TITLE","FIRSTNAME[2]","","FIRSTNAME[3]","DESIGNATOR[0]","PREFIX[1]","SUFFIX[5]","WORDSYMBOL[4]","TITLE[6]","Parsed"
"LASTNAME FIRSTNAME INIT LASTNAME","LASTNAME[0]","","FIRSTNAME[1] INIT[2]","","","","LASTNAME[3]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME LASTNAME LN_ID LASTNAME","FIRSTNAME[1]","","FIRSTNAME[2] LASTNAME[3]","","PREFIX[0]","","LN_ID[4] LASTNAME[5]","","Parsed"
